county,year,total_postings,mention_specialized,mention_software,mention_common,n_corporate,n_university,n_federal_lab,n_government,n_staffing,n_unclassified,n_remote,n_hybrid,n_onsite,share_remote,share_hybrid,share_onsite,share_specialized,share_software,share_common,mean_skills_per_posting,n_distinct_skills,n_rca_skills,avg_ubiquity,skill_hhi,skill_entropy,eci,fitness,skill_density,skill_coherence,avg_centrality,corp_n_rca_skills,univ_n_rca_skills,fede_n_rca_skills,gove_n_rca_skills,staf_n_rca_skills,rucc_2023,rucc_tier
10001,2010,8144,23843,2390,15328,3513,151,4,117,949,3410,91,31,8022,,,0.98502,0.573687,0.0575058,0.368807,5.10327,3684.0,2330.0,426.739,0.00470386,9.78572,-1.1462,0.00015995,0.0929913,0.148474,0.071103,804.0,84.0,,22.0,262.0,3,small_metro
10003,2010,40389,285532,56074,148188,15751,477,38,103,5676,18344,730,115,39509,,,0.978212,0.582963,0.114485,0.302552,12.1269,8876.0,4155.0,176.202,0.00279177,10.5086,1.65641,1.13459,0.198046,0.111649,0.0769085,2952.0,499.0,54.0,121.0,1446.0,1,large_metro
10005,2010,5541,18745,1110,14249,2759,6,1,15,252,2508,54,11,5475,,,0.988089,0.549642,0.0325475,0.41781,6.15485,2386.0,1535.0,557.286,0.00691035,9.05688,-1.33494,1.58217e-7,0.0568175,0.183329,0.067233,731.0,,,8.0,146.0,4,nonmetro_adjacent
01001,2010,984,3253,183,3273,761,0,0,1,9,213,13,4,967,,,0.982724,0.484871,0.0272768,0.487852,6.81809,928.0,695.0,763.508,0.0117495,8.14155,-0.891763,1.35276e-10,0.0244775,0.226692,0.0611767,279.0,,,,1.0,2,small_metro
01003,2010,5047,16343,809,13698,3521,32,0,4,112,1378,47,19,4980,,,0.986725,0.529757,0.0262237,0.444019,6.11254,1967.0,1198.0,610.101,0.00935621,8.66701,-1.13871,2.51836e-8,0.0445477,0.19512,0.0662975,627.0,20.0,,,96.0,3,small_metro
01005,2010,510,1622,93,1237,359,0,0,0,12,139,2,0,508,,,0.996078,0.549458,0.0315041,0.419038,5.78824,555.0,452.0,894.733,0.010749,7.89377,-0.645427,1.81818e-11,0.0152184,0.26048,0.0571416,173.0,,,,,6,nonmetro_adjacent
01007,2010,110,362,21,192,53,0,0,0,1,56,0,0,110,,,1.0,0.629565,0.0365217,0.333913,5.22727,208.0,187.0,977.39,0.0127667,7.1189,-0.235202,1.38201e-12,0.0058889,0.27247,0.0503214,44.0,,,,,1,large_metro
01009,2010,281,1116,47,718,201,0,0,0,2,78,6,0,275,,,0.978648,0.593301,0.0249867,0.381712,6.69395,429.0,338.0,940.171,0.00920789,7.78902,-0.468385,1.03585e-11,0.011527,0.264686,0.0565651,139.0,,,,,1,large_metro
01011,2010,51,128,9,97,24,0,0,0,0,27,0,0,51,,,1.0,0.547009,0.0384615,0.41453,4.58824,117.0,112.0,1054.31,0.0139528,6.56836,-0.0743436,3.48159e-13,0.00364049,0.276212,0.0510677,17.0,,,,,8,nonmetro_adjacent
01013,2010,469,1747,47,1021,303,1,0,0,11,154,25,0,444,,,0.946695,0.620604,0.0166963,0.3627,6.00213,477.0,389.0,930.692,0.00912632,7.81271,-0.579932,6.72421e-12,0.0127292,0.2728,0.0551321,182.0,,,,2.0,6,nonmetro_adjacent
01015,2010,3109,13440,905,8326,1822,40,15,6,176,1050,115,11,2982,,,0.959151,0.592828,0.0399188,0.367253,7.29206,2323.0,1575.0,527.462,0.00524399,9.45452,-1.25091,5.44115e-7,0.0589511,0.174983,0.0673125,717.0,34.0,18.0,1.0,114.0,3,small_metro
01017,2010,790,2733,112,2125,535,1,0,0,43,211,5,0,785,,,0.993671,0.549899,0.0225352,0.427565,6.29114,800.0,599.0,856.075,0.0105584,8.12479,-0.881173,3.95788e-11,0.0197628,0.274271,0.0581676,229.0,,,,17.0,6,nonmetro_adjacent
01019,2010,396,1997,117,1064,289,7,0,1,6,93,1,0,395,,,0.997475,0.628383,0.0368156,0.334802,8.02525,784.0,598.0,750.326,0.00710557,8.59854,-0.704999,1.86398e-9,0.0210991,0.231104,0.0602505,175.0,2.0,,,1.0,8,nonmetro_adjacent
01021,2010,262,1221,43,826,174,0,0,0,18,70,5,0,256,,,0.977099,0.584211,0.0205742,0.395215,7.9771,414.0,343.0,928.485,0.0103262,7.70848,-0.470356,2.84768e-11,0.0113449,0.259125,0.0548629,119.0,,,,37.0,1,large_metro
01023,2010,305,995,78,656,161,0,0,0,22,122,0,0,305,,,1.0,0.575477,0.0451128,0.37941,5.66885,388.0,322.0,827.555,0.00945896,7.67219,-0.395135,1.81558e-11,0.0113698,0.221331,0.0576754,116.0,,,,8.0,9,rural
01025,2010,611,1917,76,1466,430,3,0,1,19,158,31,1,579,,,0.947627,0.554206,0.0219717,0.423822,5.66121,526.0,401.0,859.677,0.0146159,7.54897,-0.520678,3.50019e-11,0.014005,0.237711,0.0581312,155.0,,,,11.0,9,rural
01027,2010,102,267,18,204,37,0,0,1,15,49,3,0,99,,,0.970588,0.546012,0.0368098,0.417178,4.79412,221.0,205.0,881.462,0.00897035,7.39764,-0.200691,4.57602e-12,0.00737896,0.239018,0.0576645,25.0,,,,3.0,9,rural
01029,2010,110,249,9,242,94,0,0,0,1,15,0,0,110,,,1.0,0.498,0.018,0.484,4.54545,172.0,156.0,1264.73,0.018776,6.68783,-0.212231,9.38748e-14,0.0047639,0.363202,0.0489776,46.0,,,,,8,nonmetro_adjacent
01031,2010,994,4000,159,2202,767,0,0,1,44,182,11,3,979,,,0.984909,0.628832,0.0249961,0.346172,6.3994,930.0,685.0,735.983,0.00721958,8.50639,-0.809978,1.47434e-8,0.0240918,0.224676,0.0607028,337.0,,,,15.0,4,nonmetro_adjacent
01033,2010,883,3387,154,2232,527,0,1,3,25,327,19,0,864,,,0.978482,0.586697,0.0266759,0.386627,6.53794,1026.0,790.0,732.455,0.00755265,8.62533,-0.980071,2.25732e-10,0.0273439,0.228899,0.0610585,254.0,,,2.0,13.0,3,small_metro
01035,2010,211,659,51,564,139,1,0,0,9,62,0,0,211,,,1.0,0.517268,0.0400314,0.4427,6.03791,353.0,299.0,987.609,0.0127104,7.47801,-0.470257,9.53854e-12,0.00962104,0.27809,0.0532661,79.0,,,,5.0,9,rural
01037,2010,4,22,3,28,2,0,0,0,0,2,0,0,4,,,1.0,0.415094,0.0566038,0.528302,13.25,46.0,46.0,1118.18,0.0217159,5.57698,0.0887071,1.05796e-14,0.0014358,0.301384,0.0480373,,,,,,8,nonmetro_adjacent
01039,2010,756,2444,62,1513,547,1,0,0,28,180,10,1,744,,,0.984127,0.608111,0.0154267,0.376462,5.31614,594.0,457.0,895.359,0.0113951,7.89234,-0.638239,2.38224e-11,0.0153777,0.259528,0.0571529,234.0,,,,8.0,6,nonmetro_adjacent
01041,2010,90,220,2,203,72,1,0,0,1,16,0,0,90,,,1.0,0.517647,0.00470588,0.477647,4.72222,147.0,137.0,1238.3,0.0232471,6.36334,-0.128701,1.96429e-13,0.00436933,0.352962,0.0507348,33.0,,,,,8,nonmetro_adjacent
01043,2010,798,2969,155,2100,515,5,0,1,7,270,17,3,777,,,0.973684,0.568338,0.0296708,0.401991,6.54637,809.0,609.0,759.273,0.00947616,8.30835,-0.747359,3.06585e-10,0.021415,0.224763,0.0601209,269.0,3.0,,,,4,nonmetro_adjacent
01045,2010,1121,6928,902,3536,557,3,8,12,86,455,24,29,1068,,,0.952721,0.609537,0.0793595,0.311103,10.1392,1615.0,1181.0,470.379,0.00364145,9.47137,-0.708878,3.20121e-7,0.0476321,0.157516,0.0684289,485.0,,6.0,6.0,49.0,4,nonmetro_adjacent
01047,2010,835,3488,119,1750,558,5,0,7,36,229,7,1,826,,,0.989222,0.651111,0.0222139,0.326675,6.41557,850.0,683.0,788.945,0.00723503,8.45584,-0.92409,1.5369e-10,0.0226996,0.251535,0.0587159,277.0,3.0,,1.0,8.0,4,nonmetro_adjacent
01049,2010,671,2481,88,1788,509,5,0,0,16,141,4,0,666,,,0.992548,0.569429,0.0201974,0.410374,6.49329,657.0,501.0,860.936,0.00974696,8.04896,-0.706038,6.09071e-11,0.0169607,0.249288,0.0577318,248.0,2.0,,,5.0,6,nonmetro_adjacent
01051,2010,1948,8670,2215,4251,633,1,1,1,282,1030,25,6,1916,,,0.983573,0.572807,0.14634,0.280854,7.77002,2085.0,1359.0,356.395,0.00460117,9.58984,-0.457724,0.0000173806,0.0577106,0.131006,0.0702084,237.0,,,,157.0,2,small_metro
01053,2010,666,2380,217,1992,438,3,0,1,15,209,15,0,651,,,0.977477,0.518632,0.047287,0.434081,6.89039,687.0,519.0,777.301,0.00952523,8.20213,-0.689537,5.10116e-10,0.0179538,0.214979,0.0581573,211.0,1.0,,,3.0,6,nonmetro_adjacent
01055,2010,2349,9970,390,5844,1546,5,0,8,122,668,59,1,2289,,,0.974457,0.61528,0.0240681,0.360652,6.89825,1708.0,1242.0,635.634,0.00591478,9.13856,-1.29482,1.72437e-9,0.0436406,0.210659,0.0645405,602.0,5.0,,,139.0,3,small_metro
01057,2010,175,648,19,506,137,0,0,0,7,31,1,0,174,,,0.994286,0.55243,0.0161978,0.431373,6.70286,233.0,194.0,1108.79,0.0157559,6.93604,-0.249256,9.4567e-13,0.0062028,0.308188,0.0516492,93.0,,,,2.0,8,nonmetro_adjacent
01059,2010,306,1266,64,952,264,0,0,0,0,42,2,0,303,,,0.990196,0.554776,0.0280456,0.417178,7.45752,562.0,465.0,906.216,0.011198,7.8562,-0.717863,2.03788e-11,0.0149525,0.293729,0.055562,142.0,,,,,6,nonmetro_adjacent
01061,2010,254,558,19,426,115,0,0,0,21,118,0,1,253,,,0.996063,0.556331,0.0189432,0.424726,3.94882,263.0,223.0,1055.6,0.016142,7.05916,-0.298689,3.39529e-12,0.00739405,0.27678,0.0536721,51.0,,,,3.0,3,small_metro
01063,2010,125,199,1,105,47,1,0,0,20,57,12,0,113,,,0.904,0.652459,0.00327869,0.344262,2.44,68.0,57.0,1069.4,0.0467939,5.08081,0.0951511,2.76726e-14,0.00189993,0.280852,0.051531,11.0,,,,6.0,2,small_metro
01065,2010,44,80,8,34,4,0,0,0,10,30,0,2,42,,,0.954545,0.655738,0.0655738,0.278689,2.77273,76.0,73.0,1017.37,0.0231121,5.9935,0.0503535,8.9179e-14,0.00235398,0.260911,0.0499178,,,,,,2,small_metro
01067,2010,188,533,18,509,125,2,0,0,2,59,5,0,183,,,0.973404,0.50283,0.0169811,0.480189,5.6383,326.0,281.0,1028.36,0.0135742,7.37396,-0.39858,3.67083e-12,0.00938303,0.291917,0.0550197,78.0,,,,,3,small_metro
01069,2010,5092,17262,1415,11514,2398,42,3,9,436,2204,211,13,4865,,,0.95542,0.57176,0.0468683,0.381372,5.9291,2811.0,1816.0,525.49,0.0053612,9.50489,-1.41156,3.83346e-7,0.0667015,0.177553,0.0677361,755.0,42.0,2.0,15.0,215.0,3,small_metro
