variable,type,definition,category
county,string,5-digit FIPS code (state-level placeholder XX999 codes excluded),A. Unit identifiers
year,int,Calendar year 2010-2024,A. Unit identifiers
total_postings,int,Total unique job postings in county-year,B. Labor demand
n_corporate,int,"Postings from private-sector employers (corporate, staffing, and unclassified rolled together)",C. Labor demand: posting counts by employer type
n_university,int,Postings from NAICS 6112-6117 (universities/colleges),C. Labor demand: posting counts by employer type
n_federal_lab,int,"Postings from NAICS 5417, 9271 (scientific R&D, space research)",C. Labor demand: posting counts by employer type
n_government,int,Postings from NAICS 92xx (all government),C. Labor demand: posting counts by employer type
share_remote,"float [0,1]",Fraction of postings tagged remote (very small before 2018),D. Labor demand: work mode
share_hybrid,"float [0,1]",Fraction of postings tagged hybrid (very small before 2018),D. Labor demand: work mode
share_specialized,"float [0,1]",Fraction of total skill mentions that are specialized,E. Skill demand: composition by skill type
share_software,"float [0,1]",Fraction of total skill mentions that are software,E. Skill demand: composition by skill type
share_common,"float [0,1]",Fraction of total skill mentions that are common (soft),E. Skill demand: composition by skill type
mean_skills_per_posting,float,Average skill mentions per posting in county-year,E. Skill demand: composition by skill type
n_distinct_skills,int,Count of unique skills demanded in county-year,"F. Skill demand: diversity, concentration, and complexity"
n_rca_skills,int,Count of skills with Revealed Comparative Advantage > 1,"F. Skill demand: diversity, concentration, and complexity"
avg_ubiquity,float,Mean ubiquity of county's RCA>1 skills (# counties sharing the avg specialization),"F. Skill demand: diversity, concentration, and complexity"
skill_hhi,"float (0,1]",Herfindahl-Hirschman concentration over skill frequencies,"F. Skill demand: diversity, concentration, and complexity"
skill_entropy,float (bits),Shannon entropy of skill distribution (effective # skills),"F. Skill demand: diversity, concentration, and complexity"
eci,standardized float,"Economic Complexity Index (Hidalgo-Hausmann method of reflections, standardized)","F. Skill demand: diversity, concentration, and complexity"
fitness,float (non-negative),Tacchella fitness-complexity score (non-linear alternative to ECI),"F. Skill demand: diversity, concentration, and complexity"
skill_density,"float [0,1]",Balland (2019) avg relatedness of RCA>1 skills to non-RCA skills,G. Skill relatedness and network position
skill_coherence,"float [0,1]",Neffke (2011) avg pairwise relatedness among RCA>1 skills,G. Skill relatedness and network position
avg_centrality,"float [0,1]",Mean network centrality of county's RCA>1 skills in skill-space network,G. Skill relatedness and network position
rucc_tier,string,"USDA RUCC 2023 4-tier roll-up: large_metro, small_metro, nonmetro_adjacent, rural",H. Urbanicity
